個人名和字(Full Name),個人名英字(English Name),法人名和字(Company Name),法人名英字(English Company Name),法人名(略称) (Company Name Short),住所(Physical Address),顧客番号(Customer ID),GCIF（外国送金口座の顧客情報。＋8桁番号）,口座番号(Account Number),電話番号(Phone Number),メールアドレス(Email Address)
鈴木 英樹,Hideki Suzuki,高橋通信有限会社,Takahashi Communications ,高橋通信,島根県国立市中小来川31丁目18番18号,050-1489074,BOTKJPJT-897-4829845,1480948,070-8598-7001,janet.morales@example.com
高橋 聡太郎,Sotaro Takahashi,小林農林株式会社,Kobayashi Norin ,小林農林,兵庫県立川市二つ室1丁目8番3号 入谷ハイツ056,503-9120664,BOTKJPJT-378-1533848,4251328,070-5515-6006,hector.tate@example.com
遠藤 明美,Akemi Endo,有限会社坂本ガス,Sakamoto Gas ,坂本ガス,東京都横浜市金沢区蔵前26丁目16番17号,939-8703055,BOTKJPJT-028-2178358,9141218,090-7530-5034,linda.williams@example.com
佐々木 治,Osamu Sasaki,有限会社高橋電気,Takahashi Electric ,高橋電気,徳島県三鷹市柿木沢新田12丁目26番3号 シティ南郷屋891,115-5780981,BOTKJPJT-263-4353488,2091578,090-8002-0018,john.williams@example.com
伊藤 翼,Tsubasa Ito,合同会社井上食品,Inoue Foods ,井上食品,新潟県長生郡白子町湯宮11丁目21番16号,737-5311532,BOTKJPJT-304-4288117,765455,070-0109-4986,jason.morrison@example.com
吉田 くみ子,Kumiko Yoshida,石川運輸有限会社,Ishikawa Transportation ,石川運輸,山梨県南房総市卯の里36丁目8番3号,310-7302264,BOTKJPJT-038-2863776,6254368,090-5421-9844,johnny.thompson@example.com
松田 英樹,Hideki Matsuda,合同会社清水電気,Shimizu Electric ,清水電気,高知県新島村権現堂32丁目24番10号,363-2252504,BOTKJPJT-866-2291887,2568424,090-3843-4341,jeanne.rogers@example.com
鈴木 健一,Kenichi Suzuki,遠藤電気合同会社,Endo Electric ,遠藤電気,沖縄県西多摩郡日の出町今戸3丁目8番9号,028-8361130,BOTKJPJT-906-7993221,7881218,070-3299-3881,allen.lewis@example.com
田中 学,Manabu Tanaka,藤原情報株式会社,Fujiwara Information ,藤原情報,埼玉県香取郡多古町睦17丁目27番16号 下宇和田パレス415,626-1827414,BOTKJPJT-424-4718357,2472538,070-4547-4437,nicole.jackson@example.com
福田 七夏,Nanaka Fukuda,鈴木保険有限会社,Suzuki Insurance ,鈴木保険,三重県川崎市高津区氏家29丁目5番11号,244-0963325,BOTKJPJT-428-8898216,9293316,070-6146-3569,karen.sanford@example.com
山本 明美,Akemi Yamamoto,株式会社田中通信,Tanaka Tsushin ,田中通信,岩手県世田谷区柿木沢新田40丁目27番8号 シャルム太田ヶ谷520,213-0754192,BOTKJPJT-527-2061223,5402085,080-4779-6407,john.ramirez@example.com
鈴木 香織,Kaori Suzuki,株式会社田中食品,Tanaka Foods ,田中食品,島根県鎌ケ谷市油井14丁目11番20号,006-0859948,BOTKJPJT-915-5021497,2279089,070-3346-5760,kaitlyn.fuller@example.com
近藤 涼平,Ryohei Kondo,合同会社佐藤情報,Sato Information ,佐藤情報,青森県横浜市旭区五味ヶ谷27丁目21番19号 コーポ東和町058,904-2485677,BOTKJPJT-274-4829427,258010,070-1202-2281,brianna.carter@example.com
佐藤 修平,Shuhei Sato,佐々木保険有限会社,Sasaki Insurance ,佐々木保険,高知県足立区松浦町8丁目27番7号 氏家クレスト485,707-0162802,BOTKJPJT-142-3593315,2580167,080-9577-2443,adam.hicks@example.com
佐藤 篤司,Atsushi Sato,合同会社藤田通信,Fujita Tsushin ,藤田通信,福岡県武蔵野市五味ヶ谷24丁目2番2号 シャルム鍛冶ケ沢158,098-9192768,BOTKJPJT-052-3415415,9319377,070-1831-1052,carrie.miller@example.com
橋本 裕樹,Hiroki Hashimoto,清水銀行合同会社,Shimizu Bank,清水銀行,愛知県中央区蟇沼41丁目2番15号 ハイツ権現堂956,794-5384141,BOTKJPJT-208-6127871,2102418,080-9457-6789,jessica.garza@example.com
前田 聡太郎,Sotaro Maeda,池田鉱業有限会社,Ikeda Mining ,池田鉱業,福岡県横浜市磯子区台場35丁目26番19号 上野公園パーク332,508-4131553,BOTKJPJT-171-5503464,9307152,070-3591-4991,susan.smith@example.com
清水 浩,Hiroshi Shimizu,小林情報合同会社,Kobayashi Information ,小林情報,福井県品川区高輪10丁目9番4号,551-3605507,BOTKJPJT-313-5264742,2628314,090-7672-6025,james.wood@example.com
伊藤 太一,Taichi Ito,山本運輸合同会社,Yamamoto Transport ,山本運輸,宮城県大島町松石16丁目20番2号 脚折コーポ146,445-0559815,BOTKJPJT-648-2964509,2257966,070-3148-0782,andrew.howell@example.com
中村 幹,Miki Nakamura,合同会社岡田通信,Okada Tsushin ,岡田通信,福島県墨田区東上野24丁目16番13号 シャルム東浅草900,840-5659615,BOTKJPJT-309-2316409,9472821,090-8812-3348,kevin.jones@example.com
渡辺 舞,Mai Watanabe,伊藤水産株式会社,Ito Fisheries ,伊藤水産,福岡県印旛郡本埜村神明内18丁目9番7号,487-8496698,BOTKJPJT-423-7825977,1951022,080-5265-7384,brian.jones@example.com
石井 明美,Akemi Ishii,山下通信株式会社,Yamashita Communications ,山下通信,鹿児島県川崎市中原区芝浦16丁目27番10号 アーバン北青山691,131-2003578,BOTKJPJT-358-2900656,1901180,090-9557-5547,cathy.acosta@example.com
渡辺 陽子,Yoko Watanabe,有限会社後藤農林,Goto Agriculture and Forestry ,後藤農林,香川県横浜市栄区前弥六南町36丁目12番11号,106-9924720,BOTKJPJT-019-0152565,4376328,070-5098-4754,jennifer.vincent@example.com
伊藤 晃,Akira Ito,合同会社中島情報,Nakajima  Information,中島情報,奈良県昭島市蔵前24丁目15番14号,324-2287088,BOTKJPJT-990-0076616,7607546,090-1164-9242,lisa.miller@example.com
山下 真綾,Maaya Yamashita,合同会社高橋食品,Takahashi Foods ,高橋食品,青森県山武郡九十九里町丹勢39丁目12番10号 シティ睦833,216-0708168,BOTKJPJT-346-2233376,8928427,090-8492-5794,richard.smith@example.com
村上 明美,Akemi Murakami,阿部銀行合同会社,Abe Bank ,阿部銀行,熊本県西多摩郡奥多摩町麹町14丁目21番2号 千塚シティ696,908-5595241,BOTKJPJT-934-9226721,4228199,070-1964-2010,april.guzman@example.com
鈴木 あすか,Asuka Suzuki,有限会社斎藤ガス,Saito Gas ,斎藤ガス,徳島県あきる野市三筋20丁目14番15号,964-7757256,BOTKJPJT-725-3119231,9852973,070-8528-5075,cody.hogan@example.com
渡辺 春香,Haruka Watanabe,合同会社木村ガス,Kimura Gas ,木村ガス,福岡県横浜市金沢区丹勢28丁目22番13号 シティ南赤田320,888-1689883,BOTKJPJT-147-3594670,5342708,070-8404-7103,george.hernandez@example.com
前田 千代,Chiyo Maeda,渡辺電気株式会社,Watanabe Electric ,渡辺電気,長野県川崎市多摩区戸島41丁目1番16号 所野クレスト248,850-3040162,BOTKJPJT-406-8133267,2028803,080-3079-2731,tammy.brooks@example.com
加藤 直人,Naoto Kato,田中ガス有限会社,Tanaka Gas ,田中ガス,和歌山県長生郡長南町羽折町32丁目27番15号,196-9852644,BOTKJPJT-904-0987500,7326794,070-2114-5111,erik.white@example.com
木村 英樹,Hideki Kimura,鈴木銀行有限会社,Suzuki Bank,鈴木銀行,神奈川県小金井市箪笥町23丁目3番10号 シャルム今戸057,146-1958018,BOTKJPJT-102-7042761,8313758,090-7062-7792,tyler.foster@example.com
松本 翔太,Shota Matsumoto,鈴木建設有限会社,Suzuki Construction ,鈴木建設,秋田県横浜市栄区二つ室5丁目14番14号,513-2111594,BOTKJPJT-815-5209233,4941865,070-6090-4389,terri.ray@example.com
遠藤 明美,Akemi Endo,佐々木電気合同会社,Sasaki Electric ,佐々木電気,長崎県川崎市宮前区羽折町18丁目2番16号 アーバン柿木沢937,058-8861460,BOTKJPJT-588-1526977,5967692,080-3976-7193,jacob.reyes@example.com
橋本 あすか,Asuka Hashimoto,有限会社山田食品,Yamada Foods,山田食品,岡山県板橋区上野公園37丁目21番2号 幸手パレス562,450-4811033,BOTKJPJT-574-3895520,2684724,080-4036-3268,jaime.jensen@example.com
西村 幹,Miki Nishimura,田中水産有限会社,Tanaka Fisheries ,田中水産,奈良県北区睦20丁目19番1号 シティ入谷915,694-2704826,BOTKJPJT-995-4710305,667784,080-4210-0644,russell.perez@example.com
佐藤 淳,Jun Sato,有限会社小林電気,Kobayashi Electric ,小林電気,東京都文京区一ツ橋41丁目7番2号 下宇和田コーポ574,818-3543718,BOTKJPJT-307-6960186,2330499,070-5012-1625,donald.bradley@example.com
長谷川 稔,Minoru Hasegawa,石川食品有限会社,Ishikawa Foods ,石川食品,山形県印旛郡栄町皇居外苑25丁目18番3号 鶴ヶ丘ハイツ701,275-5068431,BOTKJPJT-876-5417637,5936154,080-1794-8113,robert.baker@example.com
斎藤 裕美子,Yumiko Saito,有限会社加藤ガス,Kato Gas ,加藤ガス,富山県長生郡長生村上高野11丁目9番4号 パーク渡辺537,528-8909560,BOTKJPJT-161-8108808,6142306,080-1464-2052,danielle.alexander@example.com
林 浩,Hiroshi Hayashi,株式会社阿部水産,Abe Fisheries ,阿部水産,岩手県横浜市栄区三筋13丁目18番17号 勝どきアーバン379,435-5593367,BOTKJPJT-531-9892071,9504275,070-4775-6733,richard.johnson@example.com
山本 幹,Miki Yamamoto,合同会社高橋印刷,Takahashi Printing ,高橋印刷,兵庫県君津市丸の内18丁目27番8号 上高野コート210,572-9709242,BOTKJPJT-368-3106339,6061347,080-3679-5718,robert.underwood@example.com
斎藤 学,Manabu Saito,池田建設合同会社,Ikeda Construction ,池田建設,栃木県長生郡白子町前弥六南町27丁目15番15号 豊町ハイツ152,693-0139763,BOTKJPJT-527-6630979,1635638,080-9579-2362,jennifer.rice@example.com
石川 京助,Kyosuke Ishikawa,藤井通信有限会社,Fujii Communications ,藤井通信,三重県日野市今戸25丁目22番8号 押上パレス415,701-0788142,BOTKJPJT-401-5459676,6313457,090-7140-9935,jacqueline.hancock@example.com
小林 くみ子,Kumiko Kobayashi,株式会社井上水産,Inoue Fisheries ,井上水産,静岡県袖ケ浦市池之端13丁目8番18号 コート平須賀192,689-7384918,BOTKJPJT-505-8603748,3515547,070-8979-4098,stephanie.johnson@example.com
佐藤 治,Osamu Sato,合同会社斎藤印刷,Saito Printing ,斎藤印刷,東京都大網白里市戸山30丁目2番20号,242-8758245,BOTKJPJT-008-0863213,7732487,090-9416-0641,thomas.russell@example.com
斉藤 舞,Mai Saito,小川保険合同会社,Ogawa Insurance ,小川保険,愛知県夷隅郡御宿町浅草橋14丁目22番18号 シティ大京町722,112-3862251,BOTKJPJT-070-8981643,4347956,080-7694-7771,jill.murphy@example.com
山田 智也,Tomoya Yamada,有限会社三浦建設,Miura Construction ,三浦建設,宮崎県世田谷区芝浦6丁目15番12号 東三島ハイツ579,044-5886258,BOTKJPJT-944-7850536,2274074,080-4090-2178,lacey.martinez@example.com
渡辺 拓真,Takuma Watanabe,中村印刷有限会社,Nakamura Printing ,中村印刷,高知県小金井市上野桜木14丁目21番20号 鳥越ハイツ202,412-4327793,BOTKJPJT-946-3219249,6906086,090-7441-1492,justin.diaz@example.com
中村 翔太,Shota Nakamura,斉藤電気株式会社,Saito Electric ,斉藤電気,高知県富里市津久戸町3丁目24番13号 シャルム天神島444,406-8942201,BOTKJPJT-196-6260975,9729350,080-6877-4337,jessica.martinez@example.com
坂本 太郎,Taro Sakamoto,合同会社小林ガス,Kobayashi Gas ,小林ガス,群馬県横浜市西区外国府間13丁目26番1号,591-8777785,BOTKJPJT-943-3969167,9276079,090-3956-6253,valerie.horne@example.com
斉藤 幹,Miki Saito,中村通信有限会社,Nakamura Communications ,中村通信,長野県君津市一ツ橋32丁目27番12号 日本堤クレスト544,270-6699566,BOTKJPJT-203-7082147,7914357,090-8792-0659,kim.yu@example.com
斉藤 裕美子,Yumiko Saito,藤田銀行有限会社,Fujita Bank,藤田銀行,富山県香取郡東庄町高輪1丁目8番7号 パーク権現堂923,413-3129009,BOTKJPJT-041-7575931,2759542,090-6266-6867,kristine.knight@example.com
加藤 稔,Minoru Kato,近藤農林合同会社,Kondo Agriculture and Forestry ,近藤農林,三重県川崎市幸区東大和町1丁目18番9号 コーポ芝浦573,001-3063439,BOTKJPJT-845-0587274,9125756,090-1897-0995,david.lewis@example.com
鈴木 美加子,Mikako Suzuki,山本建設株式会社,Yamamoto Construction ,山本建設,愛媛県山武郡芝山町三ノ輪28丁目2番10号 シャルム二つ室896,328-5248053,BOTKJPJT-047-2955105,9816711,080-8378-3294,joseph.munoz@example.com
長谷川 聡太郎,Sotaro Hasegawa,高橋通信合同会社,Takahashi Communications ,高橋通信,山口県八丈島八丈町白金台9丁目5番19号 ハイツ百村179,550-5086987,BOTKJPJT-342-7905837,4789232,090-4532-8576,julie.griffith@example.com
長谷川 翔太,Shota Hasegawa,株式会社佐藤銀行,Sato Bank,佐藤銀行,栃木県横浜市南区中小来川15丁目6番19号 丸の内パレス419,997-1764424,BOTKJPJT-574-4870366,6318999,090-5618-9723,erica.ayala@example.com
渡辺 桃子,Momoko Watanabe,株式会社石井印刷,Ishii Printing ,石井印刷,徳島県板橋区日本堤17丁目23番2号 麹町パーク753,307-2192555,BOTKJPJT-956-7244792,3022585,080-5049-3947,rebecca.russell@example.com
遠藤 花子,Hanako Endo,加藤建設有限会社,Kato Construction ,加藤建設,北海道清瀬市今戸27丁目4番8号 シャルム長畑237,508-5689827,BOTKJPJT-474-1272716,5948185,070-7777-5726,christopher.pena@example.com
石川 裕樹,Hiroki Ishikawa,有限会社木村鉱業,Kimura Mining ,木村鉱業,広島県北区日光38丁目2番14号 コート池之端523,171-2199039,BOTKJPJT-366-9943912,1056172,070-6885-9948,sarah.curtis@example.com
高橋 修平,Shuhei Takahashi,佐藤運輸株式会社,Sato Transportation ,佐藤運輸,鳥取県神津島村西川33丁目26番19号 勝どきコーポ953,213-9407660,BOTKJPJT-891-1194859,2389450,090-1969-0816,bryan.torres@example.com
山本 千代,Chiyo Yamamoto,有限会社山口銀行,Yamaguchi Bank,山口銀行,熊本県横浜市金沢区独鈷沢9丁目15番19号 パレス戸島046,117-5327297,BOTKJPJT-009-2028897,53516,090-2761-1776,molly.clark@example.com
中島 充,Mitsuru Nakajima,合同会社中川運輸,Nakagawa Transportation ,中川運輸,山口県長生郡長柄町千塚16丁目27番7号 コート独鈷沢816,598-3529900,BOTKJPJT-388-7421819,3054101,080-3518-0800,sandra.castillo@example.com
池田 智也,Tomoya Ikeda,石井保険合同会社,Ishii Insurance ,石井保険,岡山県川崎市多摩区高輪22丁目21番11号 コート長畑420,493-4098765,BOTKJPJT-533-8176351,5876675,080-0395-3457,paul.buck@example.com
藤井 七夏,Nanaka Fujii,高橋通信株式会社,Takahashi Communications ,高橋通信,奈良県横浜市栄区東和町41丁目9番4号,370-6180913,BOTKJPJT-822-0075230,3602670,070-7135-1710,justin.welch@example.com
山本 晃,Akira Yamamoto,有限会社伊藤水産,Ito Suisan ,伊藤水産,奈良県清瀬市箭坪8丁目2番4号 三筋パレス122,836-5653268,BOTKJPJT-132-5284378,6154802,090-7190-9792,dawn.mcfarland@example.com
吉田 拓真,Takuma Yoshida,合同会社小川保険,Ogawa Insurance ,小川保険,長野県印旛郡印旛村四番町28丁目17番5号,987-4629629,BOTKJPJT-381-2051110,4301518,070-9752-6513,melissa.russell@example.com
中村 七夏,Nanaka Nakamura,株式会社村上食品,Murakami Foods ,村上食品,香川県調布市下宇和田41丁目12番16号 猿楽町コーポ566,912-4526000,BOTKJPJT-431-3737905,8658128,070-1661-2834,david.stein@example.com
伊藤 充,Mitsuru Ito,株式会社佐々木水産,Sasaki Fisheries ,佐々木水産,福島県千代田区明石町12丁目10番15号,554-7472867,BOTKJPJT-410-5729271,2220247,090-9430-7026,kayla.porter@example.com
清水 舞,Mai Shimizu,合同会社斉藤農林,Saito Agriculture and Forestry ,斉藤農林,大阪府青梅市渡辺7丁目23番4号,171-9044522,BOTKJPJT-752-6703288,288134,090-8118-9670,randall.nixon@example.com
小林 太郎,Taro Kobayashi,渡辺電気合同会社,Watanabe Electric ,渡辺電気,鳥取県八王子市日比谷公園25丁目11番13号 隼町クレスト572,036-7866627,BOTKJPJT-565-9077958,1065920,070-2026-4893,scott.morris@example.com
